Home Team;Away Team;Score;Half Time Score;Match Excitement;Home Team Rating;Away Team Rating;Home Team Possession %;Away Team Possession %;Home Team Off Target Shots;Home Team On Target Shots;Home Team Total Shots;Home Team Blocked Shots;Home Team Corners;Home Team Throw Ins;Home Team Pass Success %;Home Team Aerials Won;Home Team Clearances;Home Team Fouls;Home Team Yellow Cards;Home Team Second Yellow Cards;Home Team Red Cards;Away Team Off Target Shots;Away Team On Target Shots;Away Team Total Shots;Away Team Blocked Shots;Away Team Corners;Away Team Throw Ins;Away Team Pass Success %;Away Team Aerials Won;Away Team Clearances;Away Team Fouls;Away Team Yellow Cards;Away Team Second Yellow Cards;Away Team Red Cards
ATHLETIC;BARCELONA;1-0;0-0;4.7;7;5.7;28;72;6;5;11;0;3;16;71;16;16;14;1;0;0;6;2;11;3;8;17;86;13;11;9;1;0;0
CELTA;REAL MADRID;1-3;0-1;7.5;4.9;7.3;56;44;2;4;7;1;6;16;89;5;5;17;5;0;0;3;11;17;3;4;19;84;12;15;12;2;0;1
VALENCIA;REAL SOCIEDAD;1-1;0-0;5.6;5.6;6;37;63;4;6;14;4;3;13;82;11;21;13;3;1;0;5;3;12;4;3;22;88;16;11;14;4;0;0
MALLORCA;EIBAR;2-1;1-0;5.8;6.2;5.4;36;64;10;3;15;2;9;25;71;31;31;13;2;0;0;6;5;11;0;3;24;79;32;16;14;3;0;0
LEGAN心;OSASUNA;0-1;0-0;3.3;5.6;6.3;51;49;6;2;13;5;8;37;69;20;10;17;1;0;1;2;2;4;0;0;23;69;30;24;11;4;0;0
VILLARREAL;GRANADA;4-4;1-1;9.4;6.2;6.2;54;46;3;7;12;2;2;18;82;18;17;10;3;0;0;4;7;14;3;7;12;82;13;4;16;1;0;0
ALAV心;LEVANTE;1-0;0-0;3.6;6.5;6;37;63;6;2;9;1;2;24;69;23;35;18;2;0;0;7;4;16;5;9;24;82;17;11;15;1;0;0
ESPANYOL;SEVILLA FC;0-2;0-1;4.6;5.4;6.9;45;55;4;2;7;1;8;23;80;18;13;11;2;0;0;6;4;12;2;4;15;83;17;18;17;2;0;0
REAL BETIS;VALLADOLID;1-2;0-0;6.2;5.5;6.3;47;53;5;4;13;4;6;23;84;7;11;11;2;0;1;7;3;14;4;1;16;85;8;17;19;6;0;0
ATLETICO MADRID;GETAFE;1-0;1-0;3.9;6;4.9;57;43;0;5;5;0;3;21;82;22;14;19;2;1;0;4;0;6;2;4;20;76;21;6;22;4;0;1
GRANADA;SEVILLA FC;0-1;0-0;3.3;5.2;7.2;45;55;7;1;12;5;6;27;76;14;14;13;1;0;0;2;6;11;3;6;18;81;30;22;14;1;0;0
LEVANTE;VILLARREAL;2-1;0-1;6.1;6.1;5.4;49;51;8;4;16;4;7;23;78;10;9;5;1;0;0;13;6;23;4;3;20;82;6;16;9;2;0;0
OSASUNA;EIBAR;0-0;0-0;1.9;5.5;6;48;52;4;2;6;0;6;34;57;33;22;15;4;0;0;8;0;12;4;6;31;59;41;20;12;4;0;0
REAL MADRID;VALLADOLID;1-1;0-0;5.7;6.3;6.3;66;34;18;4;22;0;4;15;91;13;7;12;2;0;0;4;2;9;3;3;10;77;10;15;11;2;0;0
GETAFE;ATHLETIC;1-1;1-1;3.4;5.8;6;47;53;4;2;6;0;4;32;55;24;17;15;2;0;0;1;2;4;1;6;27;62;45;27;11;1;0;0
CELTA;VALENCIA;1-0;1-0;4.3;6.8;5.2;55;45;1;6;11;4;6;17;85;17;17;8;1;0;0;5;1;9;3;4;20;82;13;13;12;2;0;0
MALLORCA;REAL SOCIEDAD;0-1;0-0;4.3;5.8;7;35;65;5;4;12;3;5;27;75;18;14;16;1;0;0;4;4;12;4;5;20;86;13;23;12;2;0;0
ALAV心;ESPANYOL;0-0;0-0;2;6.5;6.5;35;65;7;2;10;1;3;32;77;13;19;13;3;0;0;3;1;5;1;5;23;84;14;20;10;1;0;0
LEGAN心;ATLETICO MADRID;0-1;0-0;4;6;6.2;42;58;4;3;10;3;9;15;71;24;15;12;4;0;0;2;4;6;1;4;19;80;28;26;13;5;0;0
BARCELONA;REAL BETIS;5-2;1-1;7.4;8.4;5.3;70;30;4;7;20;9;11;17;91;7;2;14;1;0;0;0;3;4;1;0;10;78;6;16;12;1;0;0
SEVILLA FC;CELTA;1-1;0-0;4.6;6.6;6.2;63;37;10;5;19;4;9;23;88;17;6;16;4;0;0;0;1;2;1;1;15;82;12;25;9;2;0;0
ATHLETIC;REAL SOCIEDAD;2-0;2-0;3.8;6.8;5.4;39;61;8;5;15;2;3;22;72;12;8;17;2;0;0;0;2;2;0;0;28;80;29;15;17;2;0;0
OSASUNA;BARCELONA;2-2;1-0;7.4;6.3;6.1;25;75;6;5;15;4;3;24;63;20;15;16;3;0;0;1;4;8;3;2;26;87;19;15;9;4;0;0
GETAFE;ALAV心;1-1;1-1;3.7;5.9;5.9;61;39;7;1;15;7;4;30;71;27;9;11;3;0;0;2;1;5;2;2;20;58;30;28;17;1;0;0
LEVANTE;VALLADOLID;2-0;0-0;5.1;6.5;5.4;51;49;9;3;16;4;6;21;77;14;9;9;2;0;0;9;4;15;2;6;21;76;16;22;10;2;0;0
REAL BETIS;LEGAN心;2-1;0-0;7.1;6.1;5.4;68;32;8;5;17;4;11;25;84;20;21;14;4;0;0;6;7;19;6;8;14;66;10;22;15;2;0;0
VALENCIA;MALLORCA;2-0;1-0;4.6;7.4;5.1;51;49;2;4;9;3;7;7;86;10;14;6;0;0;0;6;1;12;5;4;17;89;14;20;19;1;0;0
ESPANYOL;GRANADA;0-3;0-1;5.4;5.2;7.6;67;33;6;3;15;6;8;22;85;19;10;6;2;0;0;3;6;14;5;6;12;67;23;36;13;3;0;0
ATLETICO MADRID;EIBAR;3-2;1-2;6.8;6.7;5.3;57;43;3;3;7;1;1;31;78;24;12;9;0;0;0;4;2;6;0;1;24;67;21;15;15;3;0;0
VILLARREAL;REAL MADRID;2-2;1-1;8.5;6.4;6;44;56;3;5;10;2;1;24;81;12;23;8;1;0;0;10;5;17;2;8;20;89;18;8;14;3;1;0
MALLORCA;ATHLETIC;0-0;0-0;3.2;5;6;47;53;7;1;10;2;4;30;75;16;16;15;4;0;0;5;5;11;1;6;11;77;28;23;18;3;0;0
REAL MADRID;LEVANTE;3-2;3-0;9.2;7.5;4.9;65;35;8;11;25;6;9;20;91;10;15;13;2;0;0;5;3;8;0;6;12;79;8;25;10;2;0;0
LEGAN心;VILLARREAL;0-3;0-2;5.4;4.9;7.5;48;52;2;4;10;4;8;24;81;22;26;14;2;0;0;3;4;8;1;6;25;81;14;25;11;0;0;0
REAL SOCIEDAD;ATLETICO MADRID;2-0;0-0;4.4;7.1;5.4;54;46;6;5;14;3;5;18;81;26;18;13;1;0;0;8;2;12;2;5;20;78;28;10;10;3;0;0
BARCELONA;VALENCIA;5-2;2-1;9;8.3;4.6;65;35;4;10;17;3;2;13;92;5;12;11;1;0;0;4;3;9;2;5;13;85;3;14;11;4;0;0
EIBAR;ESPANYOL;1-2;0-0;4.8;5.5;6.1;58;42;7;1;11;3;7;21;68;29;12;14;2;0;0;5;2;7;0;2;24;56;27;29;16;3;1;0
ALAV心;SEVILLA FC;0-1;0-1;3.7;5.6;6.7;38;62;6;0;7;1;2;22;71;22;25;13;5;0;0;2;7;19;10;6;26;85;15;26;7;5;0;0
CELTA;GRANADA;0-2;0-1;4.1;4.7;6.9;38;62;4;0;4;0;3;12;80;10;17;11;4;0;2;7;3;13;3;5;12;89;12;9;13;2;0;0
VALLADOLID;OSASUNA;1-1;0-0;5.1;6.2;6.5;49;51;4;1;11;6;10;25;75;14;14;9;0;0;0;11;5;17;1;6;19;78;24;18;10;1;0;0
REAL BETIS;GETAFE;1-1;0-1;4.7;5.2;6;61;39;2;2;7;3;5;18;81;20;21;11;3;0;2;3;4;12;5;6;14;65;13;25;28;6;0;0
OSASUNA;REAL BETIS;0-0;0-0;3.1;6.8;5.9;48;52;5;6;12;1;9;29;79;11;11;15;1;0;0;3;2;7;2;4;18;77;14;24;9;2;0;0
VILLARREAL;VALLADOLID;2-0;0-0;5.4;6.9;5.5;60;40;5;6;18;7;4;23;88;14;20;12;2;0;0;1;3;7;3;8;19;74;7;19;8;1;0;0
LEVANTE;EIBAR;0-0;0-0;3.2;6.1;6.2;58;42;5;4;13;4;6;27;76;18;15;9;0;0;0;12;4;18;2;7;23;70;23;14;11;2;0;0
ATLETICO MADRID;CELTA;0-0;0-0;3.3;6.7;5.9;49;51;10;5;20;5;13;22;85;24;17;14;3;0;0;1;3;6;2;3;18;83;28;23;12;5;0;0
GRANADA;BARCELONA;2-0;1-0;3.9;7.4;5.2;26;74;5;4;9;0;4;15;65;12;15;22;3;0;0;1;1;8;6;5;27;88;9;6;12;2;0;0
GETAFE;MALLORCA;4-2;2-0;7.6;6.5;4.5;49;51;5;5;14;4;7;22;60;28;9;15;4;0;0;2;3;7;2;2;29;64;23;16;17;5;0;0
ESPANYOL;REAL SOCIEDAD;1-3;0-2;5.8;5.3;7.3;56;44;9;3;17;5;5;22;83;20;17;7;1;0;0;3;5;10;2;7;19;76;27;24;12;0;0;0
VALENCIA;LEGAN心;1-1;1-1;4.8;6.5;6.2;62;38;5;4;13;4;6;15;87;23;11;14;3;0;0;4;4;13;5;6;16;78;19;13;23;4;0;0
ATHLETIC;ALAV心;2-0;1-0;4;7;5;57;43;7;4;12;1;3;21;80;23;11;11;1;0;0;4;1;5;0;2;23;74;18;18;19;4;0;0
SEVILLA FC;REAL MADRID;0-1;0-0;3.2;5.8;6.5;55;45;8;0;9;1;9;19;85;17;13;16;3;0;0;3;4;7;0;6;22;81;20;27;15;2;0;0
VALLADOLID;GRANADA;1-1;1-1;4.2;6;6.1;47;53;3;5;9;1;6;33;71;16;16;21;3;0;0;0;4;6;2;3;24;77;21;24;18;2;0;0
REAL BETIS;LEVANTE;3-1;1-1;6.4;6.8;5.2;57;43;9;5;17;3;5;18;88;7;12;11;2;0;0;9;3;17;5;2;18;83;12;15;11;2;0;0
BARCELONA;VILLARREAL;2-1;2-1;5.5;6.8;5.7;57;43;3;4;8;1;6;25;88;8;12;4;4;0;0;3;3;11;5;5;20;84;7;24;13;2;0;0
MALLORCA;ATLETICO MADRID;0-2;0-1;4.9;5.7;6.7;48;52;3;3;9;3;8;19;81;15;19;8;3;0;0;7;3;13;3;5;20;84;19;24;15;4;1;0
LEGAN心;ATHLETIC;1-1;0-0;3.8;6;6.2;39;61;1;3;7;3;4;26;66;22;23;11;0;0;0;4;2;9;3;5;26;80;33;22;12;1;0;0
VALENCIA;GETAFE;3-3;3-1;8;6.3;6.1;62;38;2;4;8;2;4;21;80;18;16;14;1;0;0;10;5;18;3;5;21;67;18;13;26;4;0;0
REAL MADRID;OSASUNA;2-0;1-0;3.9;7;6;55;45;8;4;15;3;7;30;84;17;22;13;2;0;0;4;0;4;0;5;26;79;8;22;13;2;0;0
EIBAR;SEVILLA FC;3-2;0-2;7.5;6.1;5.2;47;53;5;4;11;2;3;32;75;17;9;11;3;0;0;3;4;7;0;1;27;76;20;21;19;4;0;0
CELTA;ESPANYOL;1-1;0-0;5;6.4;6.2;63;37;7;3;14;4;6;23;89;16;9;5;2;0;0;3;4;10;3;4;12;78;11;31;17;5;0;0
REAL SOCIEDAD;ALAV心;3-0;3-0;5.5;7.3;4.3;59;41;6;7;21;8;5;24;84;14;7;7;1;0;0;3;0;5;2;3;16;79;21;13;20;3;1;0
VILLARREAL;REAL BETIS;5-1;1-0;7.8;8;4.7;43;57;4;10;17;3;3;18;84;13;19;13;2;0;0;4;6;11;1;7;22;86;9;12;8;2;0;0
ATHLETIC;VALENCIA;0-1;0-1;4.2;5.3;6.6;51;49;9;3;14;2;7;22;84;22;14;14;2;0;0;3;6;10;1;7;17;84;11;25;12;5;0;0
GETAFE;BARCELONA;0-2;0-1;4.1;4.6;6.8;39;61;5;1;8;2;4;19;67;11;9;23;4;0;0;4;6;10;0;1;19;80;14;16;17;3;1;0
GRANADA;LEGAN心;1-0;1-0;4;6;5.7;51;49;5;4;11;2;8;28;70;25;26;19;3;0;0;6;6;15;3;3;24;73;25;29;12;4;0;0
ATLETICO MADRID;REAL MADRID;0-0;0-0;2.4;6.4;6.8;44;56;6;1;7;0;5;15;85;14;22;14;1;0;0;8;3;14;3;7;13;87;17;15;14;2;0;0
ESPANYOL;VALLADOLID;0-2;0-1;5;4.5;7.1;59;41;8;2;16;6;4;21;83;14;6;16;2;0;1;2;6;9;1;3;19;77;15;28;13;0;0;0
EIBAR;CELTA;2-0;0-0;4;6.6;5.2;39;61;3;3;7;1;6;20;70;21;15;17;3;0;0;1;2;3;0;5;20;80;20;19;15;1;0;0
ALAV心;MALLORCA;2-0;0-0;4.5;7.2;4.8;54;46;3;6;11;2;4;33;75;27;20;16;2;0;0;2;1;5;2;1;30;68;23;19;14;3;0;0
LEVANTE;OSASUNA;1-1;1-0;5;5.5;6.4;47;53;3;5;10;2;7;19;70;25;29;12;5;1;0;12;3;18;3;11;12;73;15;24;12;0;0;0
SEVILLA FC;REAL SOCIEDAD;3-2;1-1;8.5;7;5.4;52;48;12;8;21;1;7;24;83;19;11;9;1;0;0;3;2;5;0;0;14;78;22;31;8;1;0;0
REAL BETIS;EIBAR;1-1;0-1;4.3;5.8;6.1;58;42;4;3;12;5;4;33;78;22;25;7;3;0;0;4;2;8;2;9;19;68;25;17;20;5;1;0
LEGAN心;LEVANTE;1-2;0-1;7;5.8;5.2;59;41;12;10;25;3;9;19;82;13;9;10;3;0;0;3;2;9;4;4;15;71;17;30;7;5;0;0
REAL MADRID;GRANADA;4-2;2-0;8.7;7.1;4.9;62;38;2;10;17;5;6;16;86;11;9;12;4;0;0;3;5;8;1;2;23;79;14;13;18;5;0;0
VALENCIA;ALAV心;2-1;1-0;5.9;6.5;5.4;56;44;7;3;11;1;4;17;80;19;16;7;1;0;0;5;4;10;1;7;18;75;23;12;16;3;0;0
OSASUNA;VILLARREAL;2-1;0-1;6;6.2;5.7;52;48;7;4;16;5;8;31;79;19;14;9;2;0;0;9;5;16;2;9;19;77;14;32;15;2;0;0
MALLORCA;ESPANYOL;2-0;1-0;4;6.9;5.9;38;62;3;3;9;3;2;22;80;9;15;11;1;0;0;4;3;11;4;4;20;88;7;14;11;3;0;0
CELTA;ATHLETIC;1-0;0-0;3;6.7;5.6;62;38;7;2;13;4;6;26;81;21;23;8;0;0;0;3;2;6;1;4;25;71;22;19;20;5;0;0
VALLADOLID;ATLETICO MADRID;0-0;0-0;2.2;5.4;6;46;54;3;1;5;1;3;18;79;15;22;15;6;0;0;7;1;9;1;4;19;81;16;12;14;4;0;0
REAL SOCIEDAD;GETAFE;1-2;1-0;5.7;5;6.1;51;49;2;3;6;1;3;22;62;30;23;20;1;1;0;7;4;13;2;8;32;57;25;9;15;4;0;0
BARCELONA;SEVILLA FC;4-0;3-0;7.1;7.2;4.7;56;44;5;8;15;2;7;8;89;11;27;10;5;0;2;8;4;16;4;10;10;84;12;11;12;3;0;0
GRANADA;OSASUNA;1-0;1-0;3.5;6.2;5.5;44;56;2;2;6;2;2;28;70;20;11;12;2;0;0;2;4;9;3;7;29;74;24;22;17;7;1;0
EIBAR;BARCELONA;0-3;0-1;4.2;4.9;7.8;44;56;4;0;5;1;2;18;82;12;14;16;5;0;0;3;4;9;2;2;20;84;14;23;14;0;0;0
ATLETICO MADRID;VALENCIA;1-1;1-0;5.3;6.2;6.3;44;56;9;4;15;2;2;12;79;17;16;18;2;0;0;5;3;11;3;4;20;86;16;14;12;1;0;1
GETAFE;LEGAN心;2-0;0-0;4.1;6.4;5.4;45;55;2;2;5;1;2;27;63;36;32;17;1;0;0;3;3;7;1;3;24;69;28;12;19;4;0;0
MALLORCA;REAL MADRID;1-0;1-0;3.6;7;6.4;37;63;1;1;5;3;4;8;76;12;16;20;2;0;0;9;4;13;0;4;22;88;17;11;14;1;1;0
ALAV心;CELTA;2-0;0-0;4.7;7.1;5.8;38;62;6;5;12;1;4;20;71;23;16;20;5;0;0;7;2;14;5;6;24;86;13;14;5;1;0;0
REAL SOCIEDAD;REAL BETIS;3-1;2-1;6.8;6.8;5.2;50;50;5;6;18;7;11;20;81;9;11;23;4;0;0;5;5;12;2;2;12;83;21;24;12;2;0;0
ESPANYOL;VILLARREAL;0-1;0-1;3.8;5.4;6.7;50;50;7;3;18;8;7;33;70;30;17;11;2;0;0;3;5;11;3;3;29;71;24;25;14;1;0;0
ATHLETIC;VALLADOLID;1-1;1-0;5;6.1;5.9;52;48;6;7;19;6;3;22;80;18;21;12;2;0;0;3;3;9;3;4;25;75;14;19;9;3;0;0
SEVILLA FC;LEVANTE;1-0;0-0;4.4;6.6;5.9;61;39;8;5;19;6;9;16;82;19;14;10;2;0;0;5;5;12;2;1;28;70;16;31;11;2;0;0
VILLARREAL;ALAV心;4-1;1-0;7.1;7.3;4.7;63;37;5;8;19;6;5;28;83;12;20;12;2;0;0;7;3;12;2;4;22;70;22;19;13;2;0;0
LEGAN心;MALLORCA;1-0;1-0;3.4;6.8;5.8;43;57;5;3;9;1;4;20;81;19;23;19;4;0;0;5;1;9;3;5;21;85;16;16;13;1;0;0
VALLADOLID;EIBAR;2-0;2-0;4;6.7;5.6;36;64;2;4;8;2;4;22;61;21;30;13;1;0;0;7;3;13;3;3;37;76;31;7;13;2;0;0
ATLETICO MADRID;ATHLETIC;2-0;1-0;3.8;6.8;5.5;45;55;4;2;9;3;7;18;82;7;22;14;2;0;0;5;2;9;2;7;19;83;21;11;9;2;0;0
CELTA;REAL SOCIEDAD;0-1;0-0;3.7;5.1;7.2;42;58;5;1;9;3;3;20;70;25;26;20;4;1;0;4;4;9;1;7;28;82;26;21;12;2;0;0
GRANADA;REAL BETIS;1-0;0-0;4;6.4;5.8;36;64;8;3;13;2;4;23;79;20;14;13;3;0;0;7;0;12;5;2;20;88;16;10;8;4;0;0
LEVANTE;ESPANYOL;0-1;0-1;3.3;5.7;6.2;52;48;3;3;7;1;4;26;75;17;29;10;2;0;0;8;3;14;3;7;21;73;11;19;26;3;0;0
SEVILLA FC;GETAFE;2-0;0-0;4.6;6.8;4.9;64;36;5;8;15;2;5;32;79;27;15;13;2;0;0;3;4;9;2;0;27;57;18;20;18;3;0;0
OSASUNA;VALENCIA;3-1;1-1;7;8.1;4.7;66;34;10;14;29;5;6;24;85;13;13;13;1;0;0;1;1;3;1;1;21;72;12;26;9;1;0;1
BARCELONA;REAL MADRID;0-0;0-0;3;6.4;6.5;52;48;3;2;9;4;2;15;87;7;28;5;3;0;0;7;4;17;6;6;24;88;12;6;17;5;0;0
ALAV心;ATLETICO MADRID;1-1;0-0;4.2;6.2;6.2;48;52;5;3;11;3;4;20;72;23;19;23;3;0;0;3;3;9;3;1;21;74;20;18;16;3;0;0
BARCELONA;VALLADOLID;5-1;3-1;5.9;8.5;4.5;62;38;5;9;18;4;6;19;85;17;13;9;0;0;0;4;1;9;4;3;18;80;11;14;14;3;0;0
VALENCIA;SEVILLA FC;1-1;0-1;4.4;6;6.4;46;54;6;3;10;1;6;24;83;18;9;12;5;0;0;5;1;10;4;1;21;84;22;23;17;3;0;0
REAL SOCIEDAD;LEVANTE;1-2;0-2;6.8;5.6;6.6;65;35;8;5;17;4;9;18;85;13;10;15;3;0;0;6;4;13;3;5;13;69;17;19;12;4;0;0
ATHLETIC;ESPANYOL;3-0;2-0;4.9;7.2;5.3;46;54;1;5;7;1;2;25;74;23;21;13;0;0;0;6;5;12;1;5;25;76;15;6;20;1;0;0
REAL BETIS;CELTA;2-1;1-0;6.9;6.3;5.6;39;61;3;7;11;1;5;21;75;13;22;16;6;0;0;5;5;18;8;10;11;85;18;12;17;1;0;0
REAL MADRID;LEGAN心;5-0;3-0;7;9.2;3.4;61;39;6;11;22;5;8;16;88;20;10;12;1;0;0;2;3;5;0;3;19;80;6;19;12;5;0;0
EIBAR;VILLARREAL;2-1;0-0;7.1;6.9;5;45;55;11;8;25;6;8;19;74;23;8;11;0;0;0;5;2;9;2;3;17;77;24;18;12;3;0;0
MALLORCA;OSASUNA;2-2;1-0;6.8;6.1;5.7;46;54;7;3;11;1;5;25;70;20;19;9;1;0;0;6;4;12;2;3;26;75;17;26;10;5;0;0
GETAFE;GRANADA;3-1;2-0;5.3;6.2;5;43;57;3;3;8;2;2;32;62;32;27;22;5;0;0;6;2;10;2;3;24;72;26;11;11;5;0;0
ESPANYOL;VALENCIA;1-2;1-0;5.6;5.4;6.5;46;54;6;4;13;3;5;18;73;26;16;20;0;0;0;6;4;11;1;5;11;79;27;31;14;1;0;0
LEVANTE;BARCELONA;3-1;0-1;5.9;6.7;5.4;34;66;2;3;9;4;2;26;77;3;15;9;1;0;0;1;6;9;2;3;18;89;14;11;13;6;0;0
SEVILLA FC;ATLETICO MADRID;1-1;1-0;5.1;6.1;6;56;44;4;4;11;3;6;17;83;20;20;13;4;0;0;7;5;14;2;3;26;76;19;17;16;3;0;0
REAL MADRID;REAL BETIS;0-0;0-0;3.9;6.3;6;63;37;10;7;22;5;9;24;86;16;8;11;2;0;0;6;3;13;4;4;21;79;11;34;17;4;0;0
VALLADOLID;MALLORCA;3-0;1-0;5.3;7.6;4.5;49;51;5;6;12;1;2;14;75;15;25;15;5;0;0;9;1;14;4;6;29;79;8;9;20;4;0;0
VILLARREAL;ATHLETIC;0-0;0-0;2.9;6.4;6;57;43;3;7;11;1;8;18;83;9;26;10;2;0;0;7;2;12;3;10;23;75;19;30;8;0;0;0
OSASUNA;ALAV心;4-2;3-1;7.9;6.5;4.5;58;42;12;6;19;1;5;25;74;20;9;13;4;0;0;5;3;11;3;1;25;62;21;15;17;2;0;0
CELTA;GETAFE;0-1;0-1;2.8;5.4;6.4;61;39;2;2;6;2;4;31;73;18;14;6;3;0;0;1;5;9;4;4;30;53;22;31;19;3;0;0
LEGAN心;EIBAR;1-2;1-1;5.5;5.5;6.4;55;45;4;5;12;3;4;27;74;32;27;16;5;0;0;2;4;7;1;2;36;69;26;16;20;2;0;0
GRANADA;REAL SOCIEDAD;1-2;1-1;5.5;5.1;6.7;38;62;2;3;5;1;4;24;64;14;17;15;0;0;0;2;5;9;2;5;17;80;31;22;19;2;0;0
REAL SOCIEDAD;LEGAN心;1-1;0-0;4.1;6.4;5.7;66;34;2;5;11;4;5;29;79;34;17;14;2;0;0;3;2;6;1;1;28;61;23;28;23;5;1;0
ALAV心;VALLADOLID;3-0;2-0;4.9;7.3;5;45;55;6;5;14;3;6;25;70;26;15;21;3;0;0;3;1;7;3;7;19;72;22;12;16;3;0;0
VALENCIA;GRANADA;2-0;0-0;4.5;7.3;5.3;49;51;3;4;12;5;7;17;80;19;14;11;0;0;0;7;1;13;5;4;18;78;20;22;15;5;0;0
EIBAR;REAL MADRID;0-4;0-3;5;4.1;8.3;41;59;9;1;14;4;6;23;77;14;18;9;0;0;0;3;5;10;2;6;15;86;16;25;8;0;0;0
