Home Team;Away Team;Score;Half Time Score;Match Excitement;Home Team Rating;Away Team Rating;Home Team Possession %;Away Team Possession %;Home Team Off Target Shots;Home Team On Target Shots;Home Team Total Shots;Home Team Blocked Shots;Home Team Corners;Home Team Throw Ins;Home Team Pass Success %;Home Team Aerials Won;Home Team Clearances;Home Team Fouls;Home Team Yellow Cards;Home Team Second Yellow Cards;Home Team Red Cards;Away Team Off Target Shots;Away Team On Target Shots;Away Team Total Shots;Away Team Blocked Shots;Away Team Corners;Away Team Throw Ins;Away Team Pass Success %;Away Team Aerials Won;Away Team Clearances;Away Team Fouls;Away Team Yellow Cards;Away Team Second Yellow Cards;Away Team Red Cards
ESPANYOL;BARCELONA;2-2;1-0;8.3;6.2;6.4;31;69;5;3;8;0;4;10;74;17;18;17;2;0;0;4;7;14;3;5;14;89;17;10;11;1;1;0
GRANADA;MALLORCA;1-0;1-0;3.5;6.4;6.1;41;59;2;4;7;1;3;16;76;21;19;23;5;0;0;9;5;17;3;4;27;84;18;10;11;1;0;0
REAL SOCIEDAD;VILLARREAL;1-2;1-0;5.4;5.5;6.4;63;37;5;2;10;3;7;17;86;19;12;16;5;0;0;7;2;14;5;2;19;78;16;29;14;4;0;0
ALAV心;REAL BETIS;1-1;1-0;4.2;5.8;5.9;33;67;3;1;6;2;3;17;64;26;14;18;7;0;0;7;3;10;1;6;21;84;12;11;15;3;0;1
CELTA;OSASUNA;1-1;0-0;5;6.4;6;61;39;5;7;20;8;6;19;79;25;10;14;3;0;0;6;1;8;1;1;18;65;15;20;19;3;0;0
LEGAN心;GETAFE;0-3;0-3;4.2;4.6;7.1;62;38;4;2;8;2;4;27;70;35;16;22;6;0;0;2;4;8;2;4;28;51;28;15;17;3;0;0
LEVANTE;ALAV心;0-1;0-0;4;5.6;6.7;54;46;10;3;20;7;7;22;76;24;15;12;2;0;0;5;6;14;3;6;18;73;28;21;20;4;0;0
REAL MADRID;SEVILLA FC;2-1;0-0;5.4;6.8;5.8;52;48;7;4;13;2;2;29;85;15;15;17;3;0;0;4;3;8;1;4;19;83;6;20;12;1;0;0
OSASUNA;VALLADOLID;0-0;0-0;2.8;6.2;5.9;56;44;8;5;21;8;9;35;71;34;15;16;2;0;0;2;3;5;0;1;28;63;33;29;10;2;0;0
EIBAR;ATLETICO MADRID;2-0;1-0;4.5;6.7;5.5;39;61;4;4;9;1;6;23;62;20;25;16;1;0;0;5;4;12;3;7;34;76;41;23;14;2;0;0
MALLORCA;VALENCIA;4-1;3-0;6;7.5;4.9;43;57;6;6;13;1;1;20;82;11;13;18;4;0;0;3;1;8;4;6;20;86;11;16;11;3;1;0
REAL BETIS;REAL SOCIEDAD;3-0;2-0;5.3;7.1;5.4;48;52;4;6;14;4;6;26;79;16;12;8;3;0;0;5;0;7;2;2;27;83;11;10;10;1;0;0
VILLARREAL;ESPANYOL;1-2;0-1;6.8;5.7;5.8;68;32;12;5;21;4;4;22;86;20;5;15;1;0;0;5;5;16;6;4;5;66;15;21;18;3;1;0
ATHLETIC;CELTA;1-1;0-0;4.8;6.5;6;61;39;10;6;22;6;13;27;86;23;12;18;4;0;0;3;3;7;1;1;8;74;19;43;12;3;0;0
BARCELONA;GRANADA;1-0;0-0;3.7;7.4;5.1;83;17;6;6;18;6;7;12;92;15;9;11;0;0;0;3;1;5;1;0;15;63;12;15;17;3;1;0
OSASUNA;LEVANTE;2-0;0-0;4.3;6.8;5.4;55;45;6;3;15;6;5;27;75;12;14;18;3;0;0;4;2;6;0;5;26;64;12;17;11;3;0;0
ESPANYOL;ATHLETIC;1-1;0-1;4.1;5.7;6.4;50;50;5;3;9;1;2;30;67;23;23;14;3;0;0;7;3;11;1;3;34;69;38;17;14;1;0;0
VALENCIA;BARCELONA;2-0;0-0;5.3;7.1;5.1;26;74;2;6;8;0;2;9;76;8;13;13;1;0;0;6;5;14;3;0;18;92;12;15;16;3;0;0
ALAV心;VILLARREAL;1-2;0-1;6.4;5.6;7;54;46;6;6;12;0;7;25;78;24;13;10;2;0;0;3;6;11;2;4;25;76;16;14;12;1;0;0
SEVILLA FC;GRANADA;2-0;2-0;4.1;7.2;5.6;58;42;5;4;12;3;3;32;83;27;21;13;4;0;0;2;1;8;5;6;18;76;21;13;18;1;0;0
ATLETICO MADRID;LEGAN心;0-0;0-0;3;6.3;6.2;55;45;6;3;14;5;7;19;77;38;32;10;1;0;0;1;4;10;5;6;20;72;27;27;19;5;1;0
CELTA;EIBAR;0-0;0-0;2.7;6.3;6;65;35;7;5;18;6;6;34;76;30;10;9;1;0;0;1;3;5;1;3;17;59;20;25;16;0;0;0
GETAFE;REAL BETIS;1-0;0-0;3.5;6.2;4.9;37;63;1;3;7;3;8;24;60;18;10;19;2;0;0;6;1;8;1;4;21;77;21;33;12;4;0;1
REAL SOCIEDAD;MALLORCA;3-0;0-0;5.3;7.3;5.7;70;30;6;5;14;3;7;27;86;21;9;15;0;0;0;3;4;8;1;3;16;70;24;24;7;2;0;0
VALLADOLID;REAL MADRID;0-1;0-0;2.7;5.9;6.7;37;63;1;0;4;3;3;31;72;15;19;7;1;0;0;5;3;12;4;5;28;85;20;18;11;3;0;0
GRANADA;ESPANYOL;2-1;1-1;5.6;6;5.9;45;55;6;2;8;0;3;18;71;23;32;15;3;0;0;10;4;22;8;9;29;77;30;13;17;3;0;0
REAL MADRID;ATLETICO MADRID;1-0;0-0;3.7;7.4;5.6;65;35;8;5;16;3;5;25;88;7;12;18;2;0;0;3;1;4;0;6;28;74;12;17;11;2;0;0
MALLORCA;VALLADOLID;0-1;0-0;4.2;5.4;6.9;53;47;6;4;16;6;8;26;79;25;8;11;4;0;0;5;7;15;3;5;22;74;18;15;10;1;0;0
VALENCIA;CELTA;1-0;0-0;3.9;6.2;5.7;50;50;4;5;9;0;4;16;83;19;21;14;6;0;0;5;4;11;2;7;13;81;18;14;20;3;0;0
LEGAN心;REAL SOCIEDAD;2-1;0-1;5.2;6.7;5.6;44;56;4;5;12;3;3;38;69;19;4;24;4;0;0;1;1;2;0;1;23;74;34;24;19;3;0;0
EIBAR;REAL BETIS;1-1;1-1;4.5;5.8;6.1;36;64;2;3;8;3;2;19;66;10;16;15;2;0;0;5;6;14;3;7;26;85;15;19;16;2;0;0
ATHLETIC;GETAFE;0-2;0-1;3.9;5;6.1;71;29;4;2;8;2;5;20;80;42;11;11;2;0;0;6;3;9;0;4;14;54;20;19;19;5;0;0
SEVILLA FC;ALAV心;1-1;0-0;3.7;6.4;6;74;26;8;3;14;3;6;22;88;20;4;13;2;0;0;0;3;4;1;1;16;57;26;22;12;1;0;0
VILLARREAL;OSASUNA;3-1;1-0;5.9;6.5;5;55;45;2;4;9;3;4;22;77;21;13;19;3;0;0;11;5;17;1;6;19;75;23;8;15;2;0;0
BARCELONA;LEVANTE;2-1;2-0;7.2;7.2;5.4;67;33;8;9;23;6;8;14;91;5;5;6;2;0;0;5;5;10;0;3;9;83;6;12;10;0;0;0
ALAV心;EIBAR;2-1;0-0;5;6.3;5.3;39;61;3;5;9;1;3;23;65;27;26;16;3;0;0;2;1;5;2;5;35;75;27;7;10;2;0;0
LEVANTE;LEGAN心;2-0;2-0;4.1;6.5;5.4;49;51;2;5;9;2;2;17;77;18;21;18;2;0;0;7;4;12;1;2;24;79;17;10;15;3;0;0
GETAFE;VALENCIA;3-0;0-0;5.7;7.6;4.2;53;47;8;10;22;4;10;32;70;19;15;12;4;0;0;3;0;5;2;0;26;66;23;32;6;4;0;1
VALLADOLID;VILLARREAL;1-1;1-0;3.7;6.3;6.6;34;66;5;1;8;2;2;8;69;14;30;14;3;0;0;4;3;8;1;4;30;85;15;9;22;3;0;0
ATLETICO MADRID;GRANADA;1-0;1-0;2.9;6.5;5.6;50;50;2;3;6;1;2;22;74;28;26;16;4;0;0;6;2;10;2;3;22;70;15;10;19;6;0;0
ESPANYOL;MALLORCA;1-0;0-0;3.6;6.9;5.5;38;62;3;7;12;2;1;10;72;22;21;26;6;0;0;3;3;7;1;7;19;80;15;9;15;2;0;0
REAL SOCIEDAD;ATHLETIC;2-1;0-0;5.5;6.8;5.5;64;36;4;4;14;6;4;39;80;23;14;7;2;0;0;1;3;6;2;3;28;63;25;22;15;2;0;1
OSASUNA;REAL MADRID;1-4;1-2;7;5.1;7.8;46;54;6;4;14;4;4;15;77;8;14;11;2;0;0;5;7;17;5;3;25;82;18;18;15;2;0;0
CELTA;SEVILLA FC;2-1;0-1;6.3;6.8;5.6;46;54;3;7;13;3;3;13;79;23;13;16;3;0;0;6;4;12;2;4;23;82;24;12;14;2;0;0
REAL BETIS;BARCELONA;2-3;2-2;8.1;5.4;6.8;30;70;1;3;7;3;0;9;83;8;14;21;4;1;0;2;6;10;2;8;13;90;10;4;17;4;1;0
VALENCIA;ATLETICO MADRID;2-2;1-2;6.8;6.3;6.2;63;37;4;3;9;2;11;21;82;23;16;12;3;0;0;4;3;8;1;4;17;75;17;21;16;2;0;0
